Wavelength,Carot_0.01,Carot_1.01,Carot_2.01,Carot_3.01,Carot_4.01,Carot_5.01,Carot_6.01,Carot_7.01,Carot_8.01,Carot_9.01,Carot_10.01,Carot_11.01,Carot_12.01,Carot_13.01,Carot_14.01,Carot_15.01,Carot_16.01,Carot_17.01,Carot_18.01,Carot_19.01,Carot_20.01
400,0.04307819449329556,0.0430781944930536,0.04307819449288468,0.04307819449276671,0.043078194492684296,0.04307819449262671,0.04307819449258646,0.04307819449255832,0.043078194492538635,0.04307819449252487,0.04307819449251524,0.04307819449250849,0.043078194492503774,0.04307819449250047,0.043078194492498154,0.04307819449249653,0.04307819449249539,0.0430781944924946,0.04307819449249404,0.04307819449249365,0.04307819449249337
401,0.04307819449486981,0.04307819449415092,0.0430781944936498,0.04307819449330037,0.04307819449305664,0.04307819449288657,0.043078194492767875,0.043078194492685004,0.04307819449262713,0.0430781944925867,0.043078194492558446,0.043078194492538704,0.043078194492524896,0.043078194492515244,0.043078194492508486,0.04307819449250376,0.04307819449250046,0.04307819449249814,0.04307819449249652,0.043078194492495385,0.043078194492494594
402,0.04307819449918026,0.04307819449715761,0.04307819449574781,0.04307819449476482,0.04307819449407918,0.04307819449360079,0.04307819449326689,0.043078194493033774,0.04307819449287096,0.04307819449275722,0.043078194492677725,0.043078194492622165,0.04307819449258331,0.043078194492556135,0.04307819449253713,0.04307819449252382,0.04307819449251451,0.04307819449250799,0.04307819449250343,0.04307819449250023,0.04307819449249799
403,0.043078194511015806,0.04307819450539989,0.043078194501489905,0.043078194498766605,0.04307819449686911,0.04307819449554653,0.043078194494624335,0.043078194493981106,0.0430781944935323,0.04307819449321904,0.04307819449300033,0.04307819449284758,0.04307819449274087,0.04307819449266629,0.043078194492614165,0.04307819449257771,0.043078194492552215,0.04307819449253438,0.0430781944925219,0.04307819449251316,0.04307819449250705
404,0.04307819454275905,0.04307819452745118,0.04307819451681473,0.04307819450942103,0.043078194504279375,0.04307819450070238,0.04307819449821295,0.04307819449647977,0.043078194495272656,0.04307819449443164,0.043078194493845486,0.043078194493436826,0.04307819449315182,0.043078194492952984,0.04307819449281423,0.04307819449271737,0.04307819449264973,0.04307819449260249,0.04307819449256948,0.043078194492546414,0.04307819449253029
405,0.0430781946194408,0.043078194580690045,0.04307819455379411,0.04307819453511781,0.04307819452214343,0.043078194513126306,0.04307819450685685,0.04307819450249604,0.04307819449946163,0.04307819449734938,0.04307819449587849,0.04307819449485386,0.04307819449413984,0.04307819449364211,0.04307819449329503,0.043078194493052925,0.04307819449288399,0.04307819449276608,0.043078194492683755,0.04307819449262626,0.04307819449258609
406,0.042986406886529584,0.04298640679688084,0.04298640673471494,0.04298640669158563,0.0429864066616493,0.04298640664086077,0.04298640662641828,0.04298640661638027,0.0429864066094006,0.04298640660454549,0.04298640660116691,0.04298640659881492,0.04298640659717698,0.042986406596035885,0.04298640659524065,0.04298640659468626,0.04298640659429964,0.042986406594029934,0.04298640659384173,0.04298640659371035,0.04298640659361862
407,0.04289466384776553,0.04289466364870089,0.04289466351079017,0.04289466341519631,0.04289466334890104,0.04289466330290204,0.042894663270970426,0.042894663248793895,0.04289466323338541,0.042894663222674774,0.042894663215226565,0.04289466321004493,0.0428946632064387,0.04289466320392794,0.042894663202179203,0.04289466320096078,0.04289466320011156,0.04289466319951945,0.042894663199106474,0.04289466319881834,0.04289466319861725
408,0.04281606292480124,0.04281606249201168,0.042816062192405475,0.04281606198488091,0.04281606184105914,0.04281606174133321,0.042816061672148124,0.04281606162412718,0.04281606159078027,0.042816061567612654,0.04281606155150987,0.042816061540312665,0.04281606153252333,0.04281606152710247,0.0428160615233284,0.04281606152069984,0.042816061518868416,0.04281606151759193,0.042816061516701906,0.04281606151608113,0.04281606151564801
409,0.04272440396365047,0.04272440308141416,0.04272440247062414,0.042724402047508096,0.04272440175423083,0.04272440155083598,0.0427244014097006,0.04272440131171587,0.0427244012436546,0.0427244011963554,0.04272440116346927,0.042724401140593754,0.04272440112467454,0.042724401113591486,0.04272440110587217,0.042724401100493505,0.04272440109674428,0.04272440109412987,0.042724401092306116,0.04272440109103343,0.042724401090145005
